epochs,train_loss,train_ce_loss,train_sp_loss,train_acc,test_acc,sparsity_global,sparsity_fc1,sparsity_fc2,sparsity_fc3,lr,epoch_time_s,effective_lambda
27,1.2816462648220552,1.2685982367931268,652401.3915064102,0.5458934294871794,0.5559,0.023674420132112295,0.02350902557373047,0.0258331298828125,0.005859375,0.00043733338321784774,42.747194051742554,2e-08
28,1.2695720846836382,1.256787917094353,639208.2977564102,0.5493790064102564,0.5461,0.026208116742981534,0.0259707768758138,0.0292510986328125,0.00625,0.00040630934270713756,42.16203188896179,2e-08
29,1.2631543119748434,1.250606216222812,627404.7131410256,0.5533653846153846,0.5583,0.028739467609968473,0.028450965881347656,0.032421112060546875,0.00625,0.00037565505641757246,39.50102472305298,2e-08
30,1.2555912820192483,1.2432563558602945,616746.3559294872,0.5557091346153846,0.5574,0.03130131314742531,0.030968348185221355,0.035541534423828125,0.00625,0.00034549150281252633,42.808900117874146,2e-08
31,1.2526964670572525,1.2405542988043565,607108.5003205128,0.5581931089743589,0.5593,0.03378340339288395,0.033404032389322914,0.038593292236328125,0.007421875,0.00031593772365766105,41.77861166000366,2e-08
32,1.246929690012565,1.2349596818288167,598500.4139423077,0.559354967948718,0.5587,0.03625640388079868,0.03587182362874349,0.041149139404296875,0.0078125,0.00028711035421746355,41.945178747177124,2e-08
33,1.241888528298109,1.230073194931715,590766.6599358974,0.5603565705128205,0.5667,0.03864554402492118,0.03826141357421875,0.04355621337890625,0.0078125,0.0002591231629491422,40.696635007858276,2e-08
34,1.2330360767168878,1.221358365737475,583885.441025641,0.563641826923077,0.571,0.04086051268578292,0.04047807057698568,0.045764923095703125,0.00859375,0.00023208660251050145,42.7572557926178,2e-08
35,1.229961013641113,1.218405961073362,577752.6065705129,0.5668870192307692,0.5676,0.0429570212805885,0.04259204864501953,0.04766845703125,0.008984375,0.00020610737385376337,42.24104642868042,2e-08
36,1.2185712898388887,1.2071230947971343,572409.9113782052,0.5696915064102565,0.5682,0.044903402266926885,0.04455693562825521,0.049411773681640625,0.008984375,0.00018128800512565502,41.52434802055359,2e-08
37,1.217611583838096,1.206257144915752,567721.8782051282,0.5701322115384615,0.571,0.0466967234649452,0.04637304941813151,0.0509490966796875,0.008984375,0.00015772644703565555,39.05129146575928,2e-08
38,1.2110149851212135,1.1997422071603627,563638.8772435897,0.5709134615384616,0.5766,0.04832701546314367,0.04802068074544271,0.0523834228515625,0.009375,0.00013551568628929425,41.49094867706299,2e-08
